Date,Year,Pitcher,PitcherThrows,Inning,PAofInning,BatterSide,PitchofPA,Balls,Strikes,PitchType,ReleaseSpeed,InducedVertBreak,HorzBreak,ReleaseHeight,ReleaseSide,Extension,PlateHeight,PlateSide,SpinRate,SpinAxis,swing_prob,whiff_prob_gs,whiff_prob
4/4/2021,2021,Pitcher X,Right,4,3,Right,4,1,2,CUTTER,86.78943348,6.46732903,-6.227402008,6.804655829,0.588147617,6.226695758,1.027714306,0.118721383,2265.392718,159.2390789,0.579193294,0.462723762,0.2680065
4/4/2021,2021,Pitcher X,Right,4,3,Right,5,2,2,CURVEBALL,77.34404171,-14.72514343,-7.070175864,6.946316556,0.51727405,6.09906443,2.663163689,1.064199834,2699.08863,26.45983571,0.382155985,0.068007782,0.025989581
4/4/2021,2021,Pitcher X,Right,4,3,Right,6,3,2,FASTBALL,91.054221,19.08115456,-1.087468562,6.78684965,0.676274916,6.312210621,2.628711696,0.774481828,2019.866884,199.6273774,0.748108327,0.072926059,0.054556592
4/4/2021,2021,Pitcher X,Right,4,4,Left,1,0,0,CHANGEUP,82.04490858,7.665871023,15.48265733,6.711766021,0.845056637,6.103834127,3.014119361,1.763101848,1248.87177,219.1265849,0.008900457,0.428589523,0.003814643
4/4/2021,2021,Pitcher X,Right,4,4,Left,2,1,0,CUTTER,87.90813191,8.95314504,-0.252301437,6.862786963,0.768809589,6.149666271,2.259099467,1.531636772,2169.746523,168.5550168,0.006403205,0.306602091,0.001963236
4/4/2021,2021,Pitcher X,Right,4,4,Left,3,2,0,CHANGEUP,83.36106213,15.62049143,10.63119821,6.768247344,0.743866765,6.195493602,4.638314581,1.583450639,1425.246501,213.7774694,0.002951407,0.607138038,0.001791912
4/4/2021,2021,Pitcher X,Right,4,4,Left,4,3,0,FASTBALL,91.35936115,19.61850453,1.750248499,6.802554442,0.742584109,6.265507602,2.362136458,0.506986849,2157.517355,197.8474289,0.03566597,0.083708435,0.002985543
4/4/2021,2021,Pitcher X,Right,4,4,Left,5,3,1,CUTTER,89.32957909,10.88030748,-6.283963949,6.837989743,0.792706397,6.153705478,1.627178082,0.421495133,2297.664169,178.4202394,0.498179883,0.161081463,0.080247544
4/4/2021,2021,Pitcher X,Right,4,5,Right,1,0,0,CUTTER,87.93222102,8.345662896,-7.520460655,6.82899828,0.816557458,6.095304839,1.366001393,0.549181425,2276.155474,171.1549178,0.129421011,0.486963302,0.063023283
4/4/2021,2021,Pitcher X,Right,4,5,Right,2,1,0,FASTBALL,90.20400307,18.83257273,2.107048066,6.778851924,0.715848825,6.221921665,2.841844733,1.002175542,2075.560447,196.5765896,0.213094056,0.088758662,0.018913943
4/4/2021,2021,Pitcher X,Right,4,5,Right,3,1,1,CHANGEUP,83.20113393,12.50693732,11.51051472,6.657900283,0.68406759,6.186397239,1.541489664,-0.033552405,1239.280295,218.1176962,0.781378448,0.379503459,0.296535824
4/4/2021,2021,Pitcher X,Right,4,5,Right,4,1,2,CUTTER,90.45961273,9.837503348,-2.198465444,6.84615564,0.584530681,6.224052954,0.565280764,-0.271890914,2266.016414,172.6738031,0.204159945,0.928079486,0.189476657
